Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),route53,Amazon Route 53,0,0.5,6.00,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),s3,S3 Standard,0,454.98,5459.76,USD,S3 Standard storage (15 TB per month)
My Estimate,US East (N. Virginia),app lb,Application Load Balancer,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,39.6,475.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Application Servers,Amazon EC2,0,842.93,10115.16,USD,"Operating system (Linux), Quantity (3), Pricing strategy (On-Demand Instances), Storage amount (100 GB), Instance type (t2.2xlarge)"
My Estimate,US East (N. Virginia),Web servers,Amazon EC2,0,842.93,10115.16,USD,"Operating system (Linux), Quantity (3), Pricing strategy (On-Demand Instances), Storage amount (100 GB), Instance type (t2.2xlarge)"
My Estimate,US East (N. Virginia),db,Amazon Aurora PostgreSQL-Compatible DB,0,2754.8,33057.60,USD,"Storage amount (100 GB), Quantity (2), Instance type (db.r5.2xlarge), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."


"* For reducing the cost, I downgrade the DB instance and reduce number of EC2 instance cause I think the app still can survive with the downgrade of the number of this instance"
